relative_path	status	in_source_repo	in_drive_nested_repo	source_size	drive_size	source_sha256	drive_sha256
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	27d209f2b9e00d2a486d6d65a70608eeb8a81d9de4d4bf7e812b41d7f6e38cea	27d209f2b9e00d2a486d6d65a70608eeb8a81d9de4d4bf7e812b41d7f6e38cea
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/fixed_pdbs.jsonl	same_hash	True	True	260	260	057f88789889062c00bb0e5e986880edf8a9dd89d73b2f1ed5461b5c90ffaf7b	057f88789889062c00bb0e5e986880edf8a9dd89d73b2f1ed5461b5c90ffaf7b
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/parsed_pdbs.jsonl	same_hash	True	True	116769	116769	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	92a9a4b21ae9b5000d9e9c62569c9699cb609a51d4134953645e5cb8b74a4b7a	92a9a4b21ae9b5000d9e9c62569c9699cb609a51d4134953645e5cb8b74a4b7a
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/seqs/4YOW.fa	same_hash	True	True	1576	1576	659afa292496e98b5ade59af4807a142baeb8e3f351fe579295b9ee542cdca52	659afa292496e98b5ade59af4807a142baeb8e3f351fe579295b9ee542cdca52
vanilla_proteinmpnn/PDB_complexes/example_5_outputs/tied_pdbs.jsonl	same_hash	True	True	373	373	b851545e0e7f8629c54e45bff878aaf7b9307cd109587fada70b0ea0da794bf7	b851545e0e7f8629c54e45bff878aaf7b9307cd109587fada70b0ea0da794bf7
vanilla_proteinmpnn/PDB_complexes/example_7_outputs/bias_pdbs.jsonl	same_hash	True	True	34	34	4998f26cea284d1c9f36e19e02ce99e6ec5518d31f388949d56609304734ba83	4998f26cea284d1c9f36e19e02ce99e6ec5518d31f388949d56609304734ba83
vanilla_proteinmpnn/PDB_complexes/example_7_outputs/parsed_pdbs.jsonl	same_hash	True	True	116769	116769	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f
vanilla_proteinmpnn/PDB_complexes/example_7_outputs/seqs/3HTN.fa	same_hash	True	True	1491	1491	58406f82fac3745c982a81f44e6bfb2903fd7083792ba512b2cec1e766d226f2	58406f82fac3745c982a81f44e6bfb2903fd7083792ba512b2cec1e766d226f2
vanilla_proteinmpnn/PDB_complexes/example_7_outputs/seqs/4YOW.fa	same_hash	True	True	2307	2307	4f51b52499db8063f170747c0de04f850f1119100c5a61cebb3d4cf7f2219052	4f51b52499db8063f170747c0de04f850f1119100c5a61cebb3d4cf7f2219052
