source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
pdf	SA_CEM_9_26_2022	docx	SA_9_21_2022	6139	6764	6075	6179	80.10	78.75	0.0534
pdf	SA_CEM_9_26_2022	docx	SA_9_23_2022_CEM	6139	6771	6075	6164	93.47	92.12	0.0542
pdf	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022	6139	6771	6075	6164	93.47	92.12	0.0542
pdf	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ	6139	6776	6075	6153	87.60	86.49	0.0519
pdf	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6139	7182	6075	6231	87.49	85.30	0.0519
pdf	SA_CEM_9_26_2022	docx	V1	6139	6109	6075	5602	71.72	77.78	0.0416
pdf	SA_CEM_9_26_2022	docx	V1_CEM	6139	1855	6075	1835	19.21	63.60	0.0396
pdf	SA_CEM_9_26_2022	docx	some_soul_wrenching_physics	6139	23834	6075	23028	0.00	0.00	0.0000
pdf	SA_CEM_9_26_2022	pdf	SA_9_20_2022	6139	5932	6075	5866	80.35	83.21	0.4648
pdf	SA_CEM_9_26_2022	pdf	SA_9_20_2022_CEM	6139	5932	6075	5866	80.35	83.21	0.4648
pdf	SA_CEM_9_26_2022	pdf	SA_9_21_2022	6139	6160	6075	6094	84.54	84.28	0.5306
pdf	SA_CEM_9_26_2022	pdf	SA_9_23_2022_CEM	6139	6141	6075	6077	95.03	95.00	0.8020
pdf	SA_CEM_9_26_2022	pdf	V1_PDF	6139	4264	6075	4206	52.08	75.23	0.2981
pdf	V1_PDF	docx	SA_9_20_2022	4264	6528	4206	5943	84.43	59.75	0.0442
pdf	V1_PDF	docx	SA_9_20_2022_Equation_Update_Attempt	4264	6565	4206	5980	84.24	59.25	0.0441
pdf	V1_PDF	docx	SA_9_21_2022	4264	6764	4206	6179	84.24	57.34	0.0439
pdf	V1_PDF	docx	SA_9_23_2022_CEM	4264	6771	4206	6164	72.66	49.58	0.0420
pdf	V1_PDF	docx	SA_CEM_9_26_2022	4264	6771	4206	6164	72.66	49.58	0.0420
pdf	V1_PDF	docx	SA_CEM_9_26_2022_MJ	4264	6776	4206	6153	68.85	47.07	0.0367
pdf	V1_PDF	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	4264	7182	4206	6231	68.69	46.36	0.0367
pdf	V1_PDF	docx	V1	4264	6109	4206	5602	83.93	63.01	0.0453
