notebook	mention_type	mention	cell_index
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Ssym_ProteinMPNNTesting_V3.ipynb	dataset	PremPS	
Ssym_ProteinMPNNTesting_V3.ipynb	dataset	S_2648	
Ssym_ProteinMPNNTesting_V3.ipynb	dataset	Ssym	
Ssym_ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb	
Ssym_ProteinMPNNTesting_V3.ipynb	artifact	20sets/Ssym.txt	
Ssym_ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_PDB_Files	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_pssm_dir	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Ssym_ProteinMPNNTesting_V6.ipynb	dataset	PremPS	
Ssym_ProteinMPNNTesting_V6.ipynb	dataset	S_2648	
Ssym_ProteinMPNNTesting_V6.ipynb	dataset	Ssym	
Ssym_ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb	
Ssym_ProteinMPNNTesting_V6.ipynb	artifact	20sets/Ssym.txt	
Ssym_ProteinMPNNTesting_V6.ipynb	artifact	Ssym_full_feature_dict.pickle	
Ssym_ProteinMPNNTesting_V6.ipynb	artifact	Ssym_pmppn_info_dict.pickle	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_PDB_Files	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_pssm_dir	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	dataset	PremPS	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	20sets/Ssym.txt	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	Ssym_pmppn_info_dict_V2.pickle	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_PDB_Files	
Ssym_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_pssm_dir	
