artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
S_669_full_feature_dict.pickle	S_669_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	46	active_or_text	"with open(""S_669_full_feature_dict.pickle"",""rb"") as f:"
Ssym_full_feature_dict.pickle	Ssym_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	48	active_or_text	"with open(""Ssym_full_feature_dict.pickle"",""rb"") as f:"
S_2648_full_feature_dict.pickle	S_2648_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	46	active_or_text	"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	48	active_or_text	"with open(""S_921_full_feature_dict.pickle"",""rb"") as f:"
S_669_full_feature_dict.pickle	S_669_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	50	active_or_text	"with open(""S_669_full_feature_dict.pickle"",""rb"") as f:"
Ssym_full_feature_dict.pickle	Ssym_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	52	active_or_text	"with open(""Ssym_full_feature_dict.pickle"",""rb"") as f:"
feature_combo_result_dict.pickle	feature_combo_result_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	577	commented	"# with open(""feature_combo_result_dict.pickle"",""wb"") as f:"
feature_combo_model_dict.pickle	feature_combo_model_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	582	commented	"# with open(""feature_combo_model_dict.pickle"",""wb"") as f:"
feature_combo_result_dict.pickle	feature_combo_result_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	587	commented	"# with open(""feature_combo_result_dict.pickle"",""rb"") as f:"
S_669_pmppn_info_dict_V2.pickle	S_669_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	46	commented	# S_669_pmppn_info_dict_V2.pickle
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	47	active_or_text	"with open(""S_2648_pmppn_info_dict_V2.pickle"",""rb"") as f:"
S_921_pmppn_info_dict_V2.pickle	S_921_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	49	active_or_text	"with open(""S_921_pmppn_info_dict_V2.pickle"",""rb"") as f:"
S_669_pmppn_info_dict_V2.pickle	S_669_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	51	active_or_text	"with open(""S_669_pmppn_info_dict_V2.pickle"",""rb"") as f:"
Ssym_pmppn_info_dict_V2.pickle	Ssym_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	53	active_or_text	"with open(""Ssym_pmppn_info_dict_V2.pickle"",""rb"") as f:"
feature_combo_result_dict.pickle	feature_combo_result_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	755	commented	"# with open(""feature_combo_result_dict.pickle"",""wb"") as f:"
feature_combo_model_dict.pickle	feature_combo_model_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	760	commented	"# with open(""feature_combo_model_dict.pickle"",""wb"") as f:"
feature_combo_result_dict.pickle	feature_combo_result_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	765	commented	"# with open(""feature_combo_result_dict.pickle"",""rb"") as f:"
S_669_feature_combo_model_dict.pickle	S_669_feature_combo_model_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	824	commented	"# with open(""S_669_feature_combo_model_dict.pickle"",""wb"") as f:"
feature_combo_model_dict.pickle	feature_combo_model_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	824	commented	"# with open(""S_669_feature_combo_model_dict.pickle"",""wb"") as f:"
S_669_feature_combo_result_dict.pickle	S_669_feature_combo_result_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V2.ipynb.py.txt	historical_notebook_source_export	829	commented	"# with open(""S_669_feature_combo_result_dict.pickle"",""wb"") as f:"
